Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
27-04-2024 12:13,-15.9,OFF,ON,ON
27-04-2024 12:28,-16.4,ON,OFF,OFF
27-04-2024 12:48,10.5,OFF,OFF,OFF
27-04-2024 13:17,-13.7,OFF,ON,ON
27-04-2024 13:46,-15.8,OFF,ON,ON
27-04-2024 14:15,-16.8,OFF,ON,ON
27-04-2024 14:44,-17.5,OFF,ON,ON
27-04-2024 15:13,-17.9,OFF,ON,ON
27-04-2024 15:42,0,ON,OFF,OFF
27-04-2024 15:48,10.4,OFF,OFF,OFF
27-04-2024 16:17,-15.4,OFF,ON,ON
27-04-2024 16:46,-17.2,OFF,ON,ON
27-04-2024 17:15,-18.8,OFF,ON,ON
27-04-2024 17:44,-18.8,OFF,ON,ON
27-04-2024 18:13,-19.7,OFF,ON,ON
27-04-2024 18:42,2.6,ON,OFF,OFF
27-04-2024 18:47,13,OFF,OFF,OFF
27-04-2024 19:16,-14.5,OFF,ON,ON
27-04-2024 19:45,-17.9,OFF,ON,ON
27-04-2024 20:14,-15.7,OFF,ON,ON
27-04-2024 20:43,-18.7,OFF,ON,ON
27-04-2024 21:12,-19.8,OFF,ON,ON
27-04-2024 21:41,-0.3,ON,OFF,OFF
27-04-2024 21:47,10.4,OFF,OFF,OFF
27-04-2024 22:16,-15.5,OFF,ON,ON
27-04-2024 22:45,-18.2,OFF,ON,ON
27-04-2024 23:14,-19.6,OFF,ON,ON
27-04-2024 23:43,-19.8,OFF,ON,ON
28-04-2024 00:06,-20,OFF,OFF,ON
28-04-2024 00:23,-20,OFF,OFF,ON
28-04-2024 00:47,10.7,OFF,OFF,OFF
28-04-2024 01:16,-15.8,OFF,ON,ON
28-04-2024 01:45,-18.5,OFF,ON,ON
28-04-2024 02:14,-19.7,OFF,ON,ON
28-04-2024 02:41,-20,OFF,OFF,ON
28-04-2024 03:10,-19.8,OFF,ON,ON
28-04-2024 03:13,-20,OFF,OFF,ON
28-04-2024 03:27,-19.9,ON,OFF,OFF
28-04-2024 03:47,11.1,OFF,OFF,OFF
28-04-2024 03:57,1.1,OFF,ON,ON
28-04-2024 04:26,-17.1,OFF,ON,ON
28-04-2024 04:55,-12.4,OFF,ON,ON
